iter	F1	Logloss
0	0.7974688949	0.6206331341
1	0.8021767836	0.568875995
2	0.7997798992	0.5272574516
3	0.8015502722	0.5054322447
4	0.8032610827	0.4859044555
5	0.8027774849	0.4688495035
6	0.8042517299	0.4540048173
7	0.8072453646	0.4461194867
8	0.8093483853	0.4371927598
9	0.8112259678	0.4261468248
10	0.8110977005	0.4208394866
11	0.8105774671	0.4153644656
12	0.8117478818	0.4103812224
13	0.8139161024	0.4050517522
14	0.8144331226	0.4007294572
15	0.8141774526	0.3948699711
16	0.815155949	0.3907938812
17	0.8158402375	0.387115201
18	0.8177034286	0.3840318913
19	0.8189558623	0.3808007618
20	0.8214771154	0.3780871875
21	0.8232570907	0.3766810402
22	0.8240638469	0.3742120342
23	0.8242589066	0.3725830043
24	0.8253851352	0.3708250134
25	0.8261905293	0.3682693762
26	0.8272765568	0.3670458276
27	0.8280293829	0.3653882306
28	0.8294488458	0.3633481027
29	0.8304492074	0.3618620569
30	0.8313289673	0.3599146231
31	0.8325148941	0.3586126639
32	0.8328203041	0.3571488246
33	0.8334976206	0.3563559395
34	0.8334010464	0.3550644697
35	0.8341212268	0.3538545723
36	0.834201546	0.3525775721
37	0.8346561477	0.3514943295
38	0.835012336	0.350756198
39	0.8358443289	0.3495960326
40	0.8366296409	0.3484238154
41	0.8367389364	0.3476847912
42	0.8373178701	0.3467231447
43	0.8376644254	0.3460148077
44	0.8379151987	0.3449040396
45	0.8382175488	0.3434441059
46	0.8384385379	0.3424003662
47	0.8392376534	0.3418288015
48	0.8393284154	0.3411897249
49	0.8396987973	0.3408205475
50	0.8397388139	0.339863625
51	0.840380092	0.339063003
52	0.840218781	0.3386684203
53	0.8404534926	0.3380225738
54	0.8408419993	0.3373603236
55	0.8413156554	0.3369060773
56	0.841582625	0.3364045169
57	0.8424571665	0.3357007179
58	0.8426777256	0.3351874777
59	0.8431128557	0.3345951945
60	0.8434376652	0.3340632816
61	0.8435990017	0.3334774706
62	0.8440986478	0.3329360725
63	0.8439936241	0.3326572831
64	0.84445505	0.3323330394
65	0.8446181353	0.3317098457
66	0.845022201	0.3313755217
67	0.8452290152	0.3308748168
68	0.8456040458	0.3306572904
69	0.8459606414	0.3301539073
70	0.8461554398	0.3296563641
71	0.8463713704	0.3289125043
72	0.8464587795	0.32865395
73	0.846758174	0.3283602076
74	0.8470686303	0.3279630211
75	0.8470680626	0.3272282745
76	0.8473421918	0.3268466363
77	0.8479719164	0.3265050589
78	0.8480211956	0.3261143818
79	0.8481610283	0.3256890002
80	0.8481983978	0.3253105237
81	0.8483682759	0.3250402524
82	0.8483844891	0.3245572903
83	0.8484682957	0.3242045911
84	0.8486817189	0.3236944011
85	0.8489242732	0.3234425793
86	0.8490864645	0.3231871495
87	0.8491237801	0.3228999537
88	0.84918618	0.3227343912
89	0.8495598719	0.3222718873
90	0.8497942372	0.3219229449
91	0.8498970417	0.3214546755
92	0.8499276987	0.3212260646
93	0.8499697582	0.3210509053
94	0.8503469065	0.3207038228
95	0.8503655173	0.3205273988
96	0.8503483504	0.3203410432
97	0.8505625267	0.3199741721
98	0.8505172185	0.3197866635
99	0.8508468166	0.3195917527
100	0.8507461121	0.3193793595
101	0.8510817271	0.3189925137
102	0.8512162505	0.3186468075
103	0.8513358591	0.3184886843
104	0.8515692418	0.3183318258
105	0.8518767768	0.3179213601
106	0.8520588624	0.3176705426
107	0.8520148155	0.317494565
108	0.8521203617	0.3171960986
109	0.8525598536	0.3167254114
110	0.8526294341	0.3163926125
111	0.8530648882	0.3160157726
112	0.8533151634	0.3157349746
113	0.8533870521	0.3155899819
114	0.8538142666	0.3151383022
115	0.8539985924	0.3150345978
116	0.854125473	0.314930819
117	0.854303842	0.3146003262
118	0.8546428139	0.3141925015
119	0.8546664235	0.3140198715
120	0.8546389898	0.3138474648
121	0.8544547283	0.3137629167
122	0.8544140574	0.313550635
123	0.8546523856	0.313388011
124	0.8545702406	0.3132605007
125	0.8550311749	0.3129999749
126	0.8550800048	0.3129070575
127	0.8551310558	0.312619155
128	0.8553441143	0.3123300622
129	0.8556185487	0.3121563163
130	0.8555452662	0.3119681196
131	0.8556568023	0.3117129874
132	0.8556909241	0.3114905324
133	0.8559023096	0.3113372448
134	0.8558284114	0.3110435024
135	0.8559392551	0.3109270581
136	0.8560478956	0.3107077835
137	0.8566234832	0.3104034958
138	0.8567179083	0.3101643767
139	0.8569649809	0.3099992419
140	0.8574869788	0.3097058157
141	0.8574394462	0.3095470787
142	0.8577521952	0.3093598119
143	0.8575965308	0.3092916489
144	0.8579851828	0.3091278718
145	0.8582021272	0.3089649688
146	0.8583532514	0.3088388534
147	0.8583616511	0.3085738826
148	0.8585213747	0.308359053
149	0.8587435385	0.3081020981
150	0.8588624019	0.3079287987
151	0.85906483	0.3077679787
152	0.859128239	0.3076685147
153	0.8589708192	0.3075405394
154	0.859013878	0.3073195351
155	0.859077149	0.3072278824
156	0.859253076	0.3069342888
157	0.859414666	0.3067711998
