iter	Passed	Remaining
0	90	72561
1	122	48977
2	158	42097
3	188	37563
4	217	34634
5	248	32836
6	279	31625
7	310	30707
8	339	29826
9	368	29096
10	396	28442
11	427	28048
12	456	27653
13	487	27356
14	516	27055
15	545	26718
16	577	26593
17	609	26474
18	639	26287
19	672	26238
20	705	26165
21	735	26000
22	765	25855
23	796	25759
24	828	25676
25	858	25550
26	887	25412
27	919	25342
28	946	25171
29	977	25093
30	1012	25111
31	1043	25045
32	1073	24943
33	1103	24851
34	1130	24707
35	1160	24633
36	1189	24524
37	1216	24391
38	1246	24332
39	1279	24319
40	1311	24274
41	1342	24222
42	1376	24227
43	1408	24194
44	1436	24105
45	1471	24115
46	1502	24078
47	1532	24010
48	1562	23944
49	1596	23947
50	1628	23915
51	1655	23816
52	1688	23793
53	1721	23778
54	1750	23711
55	1779	23635
56	1806	23546
57	1839	23533
58	1869	23479
59	1898	23413
60	1925	23328
61	1956	23286
62	1985	23228
63	2017	23196
64	2043	23109
65	2068	23009
66	2096	22940
67	2121	22842
68	2149	22772
69	2176	22694
70	2203	22629
71	2229	22540
72	2256	22475
73	2286	22429
74	2315	22381
75	2341	22304
76	2365	22210
77	2396	22183
78	2426	22147
79	2453	22083
80	2482	22034
81	2510	21979
82	2534	21894
83	2567	21880
84	2593	21816
85	2621	21768
86	2646	21689
87	2674	21639
88	2698	21553
89	2727	21520
90	2756	21478
91	2784	21430
92	2813	21391
93	2844	21365
94	2873	21325
95	2903	21289
96	2933	21258
97	2965	21244
98	2998	21229
99	3034	21239
100	3064	21207
101	3095	21185
102	3126	21154
103	3154	21108
104	3183	21074
105	3210	21016
106	3242	20999
107	3270	20955
108	3299	20918
109	3329	20886
110	3358	20847
111	3389	20822
112	3420	20795
113	3450	20764
114	3473	20692
115	3499	20637
116	3534	20634
117	3568	20622
118	3599	20598
119	3629	20569
120	3662	20552
121	3690	20509
122	3721	20484
123	3749	20438
124	3779	20408
125	3810	20383
126	3843	20367
127	3873	20336
128	3905	20312
129	3936	20289
130	3965	20251
131	3998	20235
132	4029	20209
133	4054	20149
134	4083	20113
135	4116	20099
136	4150	20085
137	4182	20064
138	4211	20026
139	4247	20021
140	4276	19986
141	4303	19943
142	4333	19910
143	4366	19891
144	4398	19867
145	4430	19846
146	4459	19808
147	4487	19770
148	4514	19725
149	4542	19684
150	4572	19651
151	4602	19619
152	4634	19599
153	4664	19564
154	4696	19541
155	4725	19509
156	4757	19484
157	4782	19434
158	4812	19401
159	4851	19407
160	4882	19378
161	4913	19351
162	4946	19329
163	4975	19295
164	5004	19259
165	5034	19226
166	5061	19185
167	5089	19147
168	5122	19126
169	5154	19101
170	5204	19142
171	5233	19108
172	5262	19073
173	5298	19061
174	5329	19032
175	5361	19010
176	5391	18978
177	5422	18947
178	5453	18919
179	5480	18877
180	5508	18839
181	5536	18800
182	5566	18768
183	5593	18727
184	5622	18690
185	5656	18671
186	5687	18645
187	5725	18637
188	5755	18605
189	5784	18571
190	5816	18545
191	5846	18514
192	5878	18487
193	5910	18463
194	5943	18441
195	5976	18418
196	6015	18412
197	6046	18382
198	6073	18343
199	6107	18321
200	6134	18280
201	6162	18243
202	6189	18203
203	6217	18164
204	6247	18132
205	6278	18104
206	6309	18073
207	6339	18042
208	6373	18021
209	6402	17988
210	6438	17972
211	6472	17952
212	6502	17920
213	6540	17910
214	6574	17888
215	6610	17871
216	6642	17846
217	6675	17820
218	6702	17781
219	6735	17756
220	6769	17735
221	6801	17708
222	6834	17682
223	6864	17651
224	6918	17680
225	6957	17670
226	6983	17628
227	7012	17593
228	7039	17553
229	7067	17514
230	7098	17484
231	7126	17446
232	7156	17414
233	7187	17385
234	7220	17360
235	7248	17322
236	7277	17287
237	7306	17254
238	7333	17213
239	7363	17181
240	7393	17149
241	7419	17107
242	7449	17075
243	7476	17036
244	7509	17012
245	7535	16971
246	7561	16929
247	7590	16894
248	7617	16855
249	7643	16815
250	7672	16780
251	7702	16749
252	7729	16712
253	7761	16684
254	7788	16646
255	7817	16612
256	7842	16569
257	7870	16533
258	7901	16504
259	7933	16477
260	7962	16443
261	7992	16411
262	8020	16377
263	8050	16345
264	8081	16315
265	8114	16289
266	8141	16253
267	8167	16214
268	8193	16174
269	8226	16148
270	8256	16117
271	8286	16085
272	8317	16056
273	8351	16031
274	8380	15999
275	8408	15964
276	8439	15934
277	8471	15906
278	8506	15884
279	8543	15866
280	8572	15832
281	8604	15806
282	8629	15765
283	8659	15733
284	8690	15704
285	8723	15677
286	8755	15650
287	8781	15611
288	8813	15584
289	8843	15552
290	8878	15529
291	8906	15495
292	8936	15462
293	8958	15417
294	8984	15380
295	9012	15345
296	9040	15311
297	9072	15282
298	9101	15250
299	9131	15218
300	9162	15188
301	9191	15156
302	9217	15118
303	9246	15085
304	9278	15058
305	9308	15026
306	9342	15002
307	9369	14967
308	9399	14935
309	9432	14908
310	9460	14875
311	9491	14846
312	9522	14816
313	9556	14791
314	9585	14759
315	9621	14736
316	9650	14703
317	9683	14677
318	9715	14650
319	9750	14625
320	9779	14593
321	9810	14562
322	9839	14531
323	9868	14497
324	9901	14471
325	9931	14440
326	9958	14404
327	9986	14370
328	10015	14338
329	10047	14309
330	10076	14277
331	10105	14244
332	10130	14207
333	10160	14176
334	10189	14144
335	10218	14111
336	10252	14085
337	10282	14055
338	10314	14027
339	10353	14007
340	10407	14009
341	10447	13991
342	10477	13959
343	10509	13931
344	10538	13898
345	10568	13867
346	10596	13833
347	10628	13805
348	10658	13773
349	10688	13742
350	10715	13707
351	10749	13680
352	10777	13647
353	10807	13616
354	10838	13585
355	10864	13550
356	10895	13519
357	10926	13489
358	10954	13456
359	10984	13426
360	11016	13396
361	11047	13367
362	11075	13333
363	11104	13301
364	11135	13270
365	11162	13236
366	11191	13204
367	11221	13172
368	11245	13135
369	11272	13100
370	11304	13071
371	11333	13039
372	11361	13006
373	11393	12977
374	11422	12945
375	11448	12910
376	11480	12881
377	11507	12847
378	11540	12819
379	11571	12789
380	11596	12753
381	11624	12719
382	11654	12689
383	11690	12664
384	11725	12639
385	11754	12607
386	11787	12579
387	11817	12548
388	11845	12515
389	11878	12487
390	11908	12456
391	11938	12425
392	11969	12395
393	11997	12363
394	12030	12334
395	12059	12303
396	12085	12268
397	12111	12233
398	12140	12201
399	12166	12166
400	12197	12136
401	12231	12109
402	12262	12080
403	12296	12052
404	12325	12021
405	12358	11992
406	12386	11960
407	12421	11933
408	12453	11905
409	12486	11877
410	12515	11845
411	12545	11814
412	12576	11785
413	12612	11759
414	12649	11735
415	12678	11703
416	12707	11671
417	12740	11643
418	12773	11614
419	12805	11586
420	12837	11556
421	12864	11522
422	12894	11491
423	12928	11464
424	12956	11432
425	12984	11399
426	13010	11365
427	13041	11335
428	13070	11303
429	13099	11271
430	13123	11235
431	13161	11211
432	13196	11185
433	13222	11150
434	13254	11121
435	13286	11092
436	13320	11064
437	13350	11033
438	13378	11001
439	13416	10976
440	13450	10949
441	13483	10921
442	13515	10891
443	13547	10862
444	13581	10834
445	13611	10803
446	13640	10772
447	13673	10743
448	13710	10718
449	13743	10689
450	13773	10658
451	13804	10628
452	13839	10601
453	13869	10569
454	13897	10537
455	13925	10505
456	13955	10474
457	13984	10442
458	14015	10412
459	14055	10388
460	14104	10371
461	14142	10346
462	14175	10317
463	14219	10297
464	14254	10269
465	14285	10238
466	14317	10209
467	14351	10181
468	14381	10149
469	14415	10121
470	14448	10092
471	14477	10060
472	14504	10027
473	14535	9996
474	14567	9967
475	14602	9939
476	14632	9908
477	14666	9879
478	14694	9847
479	14724	9816
480	14754	9784
481	14782	9752
482	14811	9720
483	14840	9689
484	14871	9659
485	14900	9627
486	14932	9597
487	14962	9566
488	14993	9535
489	15022	9503
490	15055	9474
491	15088	9445
492	15123	9417
493	15169	9396
494	15204	9368
495	15235	9337
496	15271	9310
497	15301	9279
498	15336	9250
499	15371	9223
500	15403	9193
501	15430	9159
502	15458	9127
503	15487	9095
504	15511	9061
505	15544	9031
506	15574	9000
507	15605	8970
508	15641	8942
509	15672	8911
510	15707	8883
511	15744	8856
512	15778	8827
513	15808	8796
514	15839	8765
515	15869	8734
516	15903	8705
517	15930	8672
518	15966	8644
519	16001	8616
520	16031	8585
521	16067	8557
522	16101	8527
523	16134	8498
524	16169	8469
525	16229	8454
526	16263	8424
527	16293	8393
528	16327	8364
529	16360	8334
530	16385	8300
531	16420	8272
532	16452	8241
533	16485	8211
534	16523	8184
535	16554	8153
536	16591	8125
537	16626	8096
538	16656	8065
539	16681	8032
540	16709	7999
541	16743	7970
542	16771	7937
543	16799	7905
544	16826	7872
545	16859	7842
546	16889	7811
547	16924	7782
548	16953	7751
549	16990	7723
550	17021	7691
551	17056	7663
552	17087	7632
553	17120	7602
554	17151	7571
555	17183	7540
556	17214	7510
557	17248	7480
558	17275	7447
559	17307	7417
560	17337	7386
561	17368	7355
562	17396	7323
563	17428	7292
564	17460	7262
565	17491	7231
566	17519	7199
567	17550	7168
568	17579	7137
569	17617	7108
570	17659	7082
571	17688	7050
572	17715	7018
573	17742	6985
574	17771	6954
575	17799	6922
576	17831	6891
577	17860	6859
578	17887	6827
579	17917	6796
580	17953	6767
581	17984	6736
582	18015	6705
583	18048	6675
584	18077	6643
585	18107	6612
586	18138	6581
587	18167	6550
588	18200	6519
589	18232	6489
590	18259	6457
591	18287	6425
592	18317	6394
593	18347	6362
594	18376	6331
595	18407	6300
596	18440	6270
597	18469	6238
598	18500	6208
599	18533	6177
600	18566	6147
601	18595	6116
602	18623	6084
603	18658	6054
604	18689	6023
605	18716	5991
606	18754	5963
607	18782	5931
608	18814	5900
609	18842	5869
610	18872	5837
611	18905	5807
612	18936	5776
613	18965	5745
614	18994	5713
615	19017	5680
616	19044	5648
617	19072	5616
618	19098	5584
619	19125	5552
620	19154	5521
621	19183	5489
622	19212	5458
623	19241	5427
624	19268	5395
625	19298	5364
626	19331	5333
627	19362	5303
628	19392	5271
629	19419	5240
630	19449	5209
631	19476	5177
632	19505	5146
633	19535	5115
634	19568	5084
635	19600	5054
636	19626	5022
637	19656	4991
638	19695	4962
639	19726	4931
640	19753	4899
641	19787	4869
642	19819	4839
643	19855	4809
644	19885	4778
645	19918	4748
646	19951	4717
647	19981	4686
648	20010	4655
649	20041	4624
650	20070	4593
651	20099	4562
652	20127	4531
653	20158	4500
654	20187	4469
655	20216	4437
656	20253	4408
657	20284	4377
658	20307	4345
659	20338	4314
660	20368	4283
661	20404	4253
662	20432	4222
663	20464	4191
664	20495	4160
665	20528	4130
666	20559	4099
667	20588	4068
668	20617	4037
669	20649	4006
670	20677	3975
671	20711	3945
672	20745	3914
673	20777	3884
674	20807	3853
675	20836	3822
676	20863	3790
677	20890	3759
678	20919	3728
679	20955	3698
680	20984	3666
681	21016	3636
682	21050	3605
683	21087	3576
684	21121	3545
685	21157	3515
686	21187	3484
687	21218	3454
688	21250	3423
689	21279	3392
690	21308	3361
691	21338	3330
692	21367	3299
693	21396	3268
694	21429	3237
695	21459	3206
696	21490	3175
697	21524	3145
698	21555	3114
699	21588	3084
700	21618	3053
701	21649	3022
702	21682	2991
703	21712	2960
704	21746	2930
705	21778	2899
706	21811	2869
707	21843	2838
708	21874	2807
709	21901	2776
710	21930	2745
711	21959	2714
712	21992	2683
713	22020	2652
714	22051	2621
715	22081	2590
716	22112	2559
717	22143	2528
718	22179	2498
719	22207	2467
720	22237	2436
721	22266	2405
722	22296	2374
723	22326	2343
724	22359	2313
725	22391	2282
726	22420	2251
727	22449	2220
728	22480	2189
729	22506	2158
730	22535	2127
731	22567	2096
732	22598	2065
733	22628	2034
734	22656	2003
735	22685	1972
736	22717	1941
737	22754	1911
738	22784	1880
739	22818	1850
740	22851	1819
741	22883	1788
742	22917	1758
743	22947	1727
744	22978	1696
745	23008	1665
746	23047	1635
747	23077	1604
748	23106	1573
749	23134	1542
750	23160	1511
751	23193	1480
752	23225	1449
753	23256	1418
754	23285	1387
755	23320	1357
756	23349	1326
757	23382	1295
758	23419	1265
759	23456	1234
760	23488	1203
761	23522	1173
762	23551	1142
763	23585	1111
764	23614	1080
765	23643	1049
766	23671	1018
767	23703	987
768	23732	956
769	23766	925
770	23798	895
