hotel,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests
Resort Hotel,138,2017,March,9,2,0,3,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,E,0,No Deposit,0,Transient,41.58,0,2
City Hotel,22,2015,September,38,16,0,2,2,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,1,No Deposit,0,Transient,75.0,0,0
Resort Hotel,34,2016,June,24,7,0,3,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,115.67,0,0
City Hotel,84,2016,November,48,20,2,0,2,0,0,SC,CHN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,71.28,0,0
City Hotel,115,2016,February,9,27,2,3,1,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,0,Transient-Party,60.0,0,0
Resort Hotel,65,2017,May,18,3,3,9,2,0,0,Undefined,PRT,Groups,Corporate,0,0,0,A,A,0,Non Refund,0,Transient,125.0,0,0
Resort Hotel,43,2017,August,32,7,1,3,2,0,0,HB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,296.0,0,2
City Hotel,170,2017,June,22,3,2,1,2,0,0,SC,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,126.0,0,2
City Hotel,86,2015,September,39,24,0,2,2,0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,105.0,0,0
Resort Hotel,185,2016,April,17,18,1,1,2,0,0,HB,DEU,Groups,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,85.0,0,0
City Hotel,129,2017,March,11,16,0,3,2,1,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,125.85,0,1
City Hotel,60,2017,April,14,8,2,1,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,126.0,0,1
Resort Hotel,27,2017,August,35,28,2,5,2,0,0,BB,CHE,Direct,Direct,0,0,0,F,F,0,No Deposit,0,Transient,234.29,0,1
City Hotel,175,2017,June,23,9,0,2,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,130.0,0,0
Resort Hotel,220,2017,May,21,22,3,7,3,2,0,BB,GBR,Direct,Direct,0,0,0,H,H,0,No Deposit,0,Transient,156.0,0,0
Resort Hotel,148,2015,October,43,24,0,1,2,0,0,BB,PRT,Groups,Direct,0,0,0,A,A,0,Non Refund,0,Transient,47.0,0,0
Resort Hotel,10,2016,November,48,21,1,3,2,0,0,HB,IRL,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,60.0,0,0
City Hotel,38,2017,March,13,26,2,2,2,0,0,BB,AUT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,71.82,0,0
City Hotel,16,2016,December,53,28,2,4,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,0,Transient,76.67,0,0
Resort Hotel,45,2016,March,13,22,0,2,2,0,0,BB,CIV,Direct,Direct,0,0,0,D,I,3,No Deposit,0,Transient,45.0,0,1
Resort Hotel,112,2017,April,17,28,2,2,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,0,Transient,112.5,0,0
Resort Hotel,365,2016,October,42,13,1,3,2,0,0,BB,NLD,Groups,Corporate,0,0,0,A,C,1,No Deposit,0,Transient-Party,66.0,0,0
City Hotel,111,2016,November,49,28,1,2,2,0,0,SC,BRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,79.2,0,2
Resort Hotel,120,2017,June,23,6,0,3,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,0,Transient,115.5,0,0
City Hotel,34,2015,October,42,12,1,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Contract,103.5,0,1
Resort Hotel,37,2017,June,22,3,1,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,136.0,1,0
Resort Hotel,312,2017,March,10,5,2,5,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,30.0,0,0
City Hotel,56,2015,September,39,25,2,2,1,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,D,1,No Deposit,0,Transient-Party,185.0,0,0
City Hotel,46,2017,June,25,23,0,1,2,0,0,SC,NZL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,140.0,0,0
Resort Hotel,141,2016,August,33,7,4,10,2,2,0,BB,FRA,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,0,Transient,259.0,0,0
Resort Hotel,275,2015,October,41,4,2,0,2,0,0,HB,PRT,Offline TA/TO,TA/TO,0,26,0,A,A,0,Non Refund,0,Transient,50.0,0,0
Resort Hotel,34,2015,July,29,12,2,5,2,0,1,HB,ESP,Offline TA/TO,TA/TO,0,0,0,D,D,1,No Deposit,0,Transient,149.0,0,1
Resort Hotel,1,2016,August,34,17,0,1,2,0,0,BB,PRT,Direct,Direct,0,0,0,D,D,0,No Deposit,0,Transient,221.0,0,1
City Hotel,53,2017,March,11,16,0,3,2,0,0,BB,BRA,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,0,Transient,106.2,0,4
City Hotel,127,2017,March,9,3,1,2,2,0,0,BB,DNK,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,93.6,0,2
Resort Hotel,84,2017,March,9,1,6,19,2,0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,55.8,0,0
Resort Hotel,46,2015,August,34,22,2,5,2,1,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,186.25,0,3
City Hotel,16,2015,September,39,25,2,3,2,0,0,BB,ITA,Groups,TA/TO,0,0,0,A,B,1,No Deposit,0,Transient-Party,170.0,0,0
City Hotel,150,2016,June,25,16,0,3,2,0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,90.0,0,1
City Hotel,266,2016,December,53,26,1,3,3,0,0,BB,ESP,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,104.55,0,0
Resort Hotel,55,2015,July,30,23,0,3,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,135.0,0,0
City Hotel,96,2017,August,34,21,1,3,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,89.1,0,0
Resort Hotel,286,2015,October,42,14,2,4,2,0,0,BB,GBR,Groups,Corporate,0,0,0,A,D,2,No Deposit,0,Transient-Party,44.5,0,0
City Hotel,405,2017,July,27,4,0,2,2,0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,114.4,0,0
City Hotel,145,2016,January,2,3,2,1,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,85,Transient,65.0,0,0
City Hotel,84,2016,October,45,31,1,3,2,0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,79.43,0,2
City Hotel,39,2015,August,33,14,0,2,2,0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,D,1,No Deposit,0,Transient-Party,109.0,0,0
City Hotel,28,2017,March,9,2,0,3,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,0,Transient,95.0,0,0
Resort Hotel,100,2016,June,26,19,4,10,1,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Contract,54.7,0,1
City Hotel,120,2016,April,17,23,2,2,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,71.67,0,1
City Hotel,42,2017,January,2,12,0,2,1,0,0,BB,NOR,Direct,Direct,0,0,0,A,A,0,No Deposit,0,Transient,88.0,0,0
City Hotel,128,2017,May,21,26,0,2,2,0,0,BB,NLD,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,0,Transient-Party,121.5,0,1
City Hotel,55,2016,April,15,6,0,1,2,0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,104.0,0,0
Resort Hotel,24,2016,October,44,24,1,1,2,0,0,BB,BRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,60.0,0,1
City Hotel,18,2017,January,2,8,2,2,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,0,Transient,108.38,0,2
City Hotel,102,2015,October,42,16,0,2,2,0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,0,Transient-Party,101.5,0,0
City Hotel,43,2016,November,46,12,2,2,2,0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,79.48,0,2
City Hotel,23,2015,December,49,4,2,2,2,0,0,BB,ESP,Corporate,Corporate,0,0,0,A,A,0,No Deposit,0,Transient-Party,50.0,0,0
City Hotel,437,2016,May,19,2,1,2,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,0,Transient,60.0,0,0
City Hotel,25,2016,March,11,8,2,5,2,0,0,SC,BRA,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,0,Transient,81.86,0,1
Resort Hotel,138,2016,April,18,25,1,2,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,E,E,0,Non Refund,0,Transient,65.0,0,0
City Hotel,92,2017,March,11,15,0,3,2,0,0,BB,PRT,Groups,Direct,0,0,0,A,A,0,Non Refund,0,Transient,85.0,0,0
City Hotel,358,2016,June,27,30,0,2,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,0,Transient,62.0,0,0
Resort Hotel,79,2016,November,46,6,2,0,2,0,0,HB,POL,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,0,Transient,88.8,1,2
City Hotel,0,2015,October,41,6,0,1,2,0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Contract,114.0,0,2
City Hotel,0,2015,October,44,30,1,2,2,0,0,BB,POL,Online TA,TA/TO,0,0,0,D,E,0,No Deposit,0,Transient,126.0,0,1
Resort Hotel,424,2016,July,29,11,3,7,2,1,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,0,Transient,112.63,0,1
City Hotel,5,2016,May,20,9,1,1,1,0,0,BB,PRT,Corporate,Corporate,1,0,6,A,A,0,No Deposit,0,Transient,65.0,0,0
City Hotel,150,2016,January,1,2,2,1,2,0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,91,Transient,101.0,0,0
Resort Hotel,197,2015,September,36,1,1,5,2,0,0,BB,PRT,Online TA,TA/TO,0,1,0,A,A,0,No Deposit,0,Transient,123.0,0,1
Resort Hotel,226,2017,March,9,1,4,10,2,0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,37.8,0,1
Resort Hotel,107,2015,September,38,13,4,5,2,0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,76.67,0,0
City Hotel,85,2016,October,44,26,0,1,2,0,0,BB,BRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,90.9,0,3
City Hotel,1,2016,June,26,22,0,1,2,0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,129.0,0,2
City Hotel,273,2017,May,19,9,0,1,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,89.1,0,0
City Hotel,34,2017,March,12,21,2,5,0,1,0,BB,BLR,Direct,Direct,0,0,0,B,A,1,No Deposit,0,Transient,93.82,0,0
City Hotel,43,2017,March,10,9,2,3,3,0,0,BB,DEU,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,0,Transient,125.8,0,1
City Hotel,80,2016,March,11,7,1,2,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,78.3,0,1
Resort Hotel,2,2016,November,47,19,0,1,2,0,0,BB,PRT,Corporate,Corporate,0,0,0,G,G,0,No Deposit,0,Transient,50.0,0,1
Resort Hotel,44,2017,June,25,22,2,8,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,0,Transient,106.47,0,0
City Hotel,8,2017,March,11,17,0,1,1,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,108.0,0,2
City Hotel,8,2016,July,29,15,1,2,2,0,0,BB,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,154.33,0,0
Resort Hotel,17,2016,November,45,5,2,5,2,0,0,HB,GBR,Online TA,TA/TO,0,0,0,E,E,1,No Deposit,0,Transient,82.0,0,0
City Hotel,157,2016,July,31,27,0,4,3,0,0,BB,NOR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,132.18,0,1
City Hotel,96,2016,November,46,6,2,3,1,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,0,Transient,79.0,0,1
City Hotel,109,2016,December,53,27,0,3,3,0,0,BB,LTU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,92.65,0,0
City Hotel,164,2017,June,24,15,2,5,2,0,0,BB,SWE,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,134.36,0,0
Resort Hotel,224,2017,May,21,25,1,3,2,0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,76.5,0,1
City Hotel,422,2017,June,24,13,0,1,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,0,Transient,90.0,0,0
City Hotel,40,2016,August,33,13,2,2,2,0,0,BB,SVK,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,149.4,0,2
Resort Hotel,31,2016,April,17,18,1,1,1,0,0,BB,DEU,Groups,Corporate,0,0,0,D,D,1,No Deposit,0,Transient,75.0,0,0
Resort Hotel,199,2016,May,19,2,1,1,2,0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,85.0,0,0
Resort Hotel,344,2015,September,37,8,4,10,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,58.95,0,0
City Hotel,28,2017,March,9,2,0,3,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,0,Transient,95.0,0,0
Resort Hotel,33,2015,November,46,12,0,3,1,0,0,BB,FRA,Corporate,Corporate,0,0,0,A,E,4,No Deposit,0,Transient-Party,40.0,0,0
Resort Hotel,82,2015,August,31,1,2,5,2,2,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,0,Transient,222.14,0,0
City Hotel,182,2016,April,18,27,0,4,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,50,Transient,75.0,0,0
City Hotel,301,2016,July,31,30,1,1,2,0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,115.0,0,1
Resort Hotel,0,2015,September,36,5,0,1,2,0,0,BB,FRA,Direct,Direct,0,0,0,A,G,0,No Deposit,0,Transient,172.0,1,0
City Hotel,123,2017,April,14,2,2,1,2,0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,99.0,0,0
City Hotel,54,2015,November,47,16,1,2,2,0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,69.0,0,0
Resort Hotel,26,2017,February,8,23,2,5,1,0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,A,B,1,No Deposit,0,Transient,42.5,0,3
City Hotel,201,2017,August,33,16,0,3,2,0,0,SC,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,112.5,0,0
City Hotel,396,2017,June,26,25,2,0,2,0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,122.4,0,1
Resort Hotel,115,2016,October,44,23,2,4,2,0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,49.0,0,1
City Hotel,245,2016,July,28,6,2,4,1,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,0,Transient,110.0,0,0
City Hotel,256,2015,September,38,14,1,2,2,0,0,BB,SWE,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,0,Transient-Party,76.67,0,0
